key,de-DE,R,en-US,R,da-DK,R,fi-FI,R,sv-SE,R,fr-FR,R,it-IT,R,es-ES,R
server.config.parameter.system.gazetteer_plugin_settings.enabled.checkbox,Aktiviert,FALSE,Enabled,FALSE,Enabled,FALSE,Käytössä,FALSE,Aktiverad,FALSE,Activé,FALSE,Enabled,FALSE,Enabled,FALSE
server.config.parameter.system.gazetteer_plugin_settings.enabled.label,-,FALSE,-,FALSE,-,FALSE,-,FALSE,-,FALSE,-,FALSE,-,FALSE,-,FALSE
server.config.parameter.system.gazetteer_plugin_settings.on_update.checkbox,Gazetteereinträge auch beim Ändern von Objekten aktualisieren,FALSE,Update Gazetteer info also when editing records,FALSE,Update Gazetteer info also when editing records,FALSE,Päivitä paikkatietomerkinnät myös objekteja vaihdettaessa,FALSE,Uppdatera Gazetteer-poster även när du byter objekt,FALSE,Mettre également à jour les informations du répertoire géographique lors de la modification des enregistrements,FALSE,Update Gazetteer info also when editing records,FALSE,Update Gazetteer info also when editing records,FALSE
server.config.parameter.system.gazetteer_plugin_settings.on_update.label,-,FALSE,-,FALSE,-,FALSE,-,FALSE,-,FALSE,-,FALSE,-,FALSE,-,FALSE
server.config.parameter.system.gazetteer_plugin_settings.on_update.label|hint,"Gazetteereinträge in Objekten werden standardmäßig nur beim Anlegen eines Objekts aktualisiert. Aktivieren Sie diese Option, damit die Einträge bei jeder Änderung des Objekts aktualisiert werden.",FALSE,"By default, Gazetteer entries in records are only updated when a record is created. Activate this option so that the entries are updated each time the record is edited.",FALSE,"By default, Gazetteer entries in records are only updated when a record is created. Activate this option so that the entries are updated each time the record is edited.",FALSE,"Oletuksena paikkatietomerkinnät objekteissa päivitetään vain, kun objekti luodaan. Ota tämä asetus käyttöön, jotta merkinnät päivitetään aina, kun objektia muutetaan.",FALSE,Som standard uppdateras Gazetteer-poster i objekt endast när ett objekt skapas. Aktivera detta alternativ så att posterna uppdateras varje gång objektet ändras.,FALSE,"Par défaut, les entrées du répertoire géographique dans les enregistrements ne sont mises à jour que lorsqu'un enregistrement est créé. Activez cette option pour que les entrées soient mises à jour à chaque modification de l'enregistrement.",FALSE,"By default, Gazetteer entries in records are only updated when a record is created. Activate this option so that the entries are updated each time the record is edited.",FALSE,"By default, Gazetteer entries in records are only updated when a record is created. Activate this option so that the entries are updated each time the record is edited.",FALSE
server.config.parameter.system.gazetteer_plugin_settings.show_alternative_names.checkbox,Enabled,FALSE,Enabled,FALSE,Enabled,FALSE,Käytössä,FALSE,Aktiverad,FALSE,Activé,FALSE,,FALSE,,FALSE
server.config.parameter.system.gazetteer_plugin_settings.show_alternative_names.label,Alternative Namen anzeigen,FALSE,Show alternative names,FALSE,Show alternative names,FALSE,Näytä vaihtoehtoiset nimet,FALSE,Visa alternativa namn,FALSE,Afficher des noms alternatifs,FALSE,,FALSE,,FALSE
server.config.parameter.system.gazetteer_plugin_settings.show_lat_lng.checkbox,Enabled,FALSE,Enabled,FALSE,Enabled,FALSE,Käytössä,FALSE,Aktiverad,FALSE,Activé,FALSE,,FALSE,,FALSE
server.config.parameter.system.gazetteer_plugin_settings.show_lat_lng.label,Breitengrad und Längengrad anzeigen,FALSE,Show latitude and longitude,FALSE,Show latitude and longitude,FALSE,Näytä leveys- ja pituusaste,FALSE,Visa latitud och longitud,FALSE,Afficher la latitude et la longitude,FALSE,,FALSE,,FALSE
server.config.parameter.system.update_interval_gazetteer.days.label,Update alle x Tage durchführen,FALSE,Update every x days,FALSE,Update every x days,FALSE,Päivitysten tiheys päivinä,FALSE,Utför uppdatering var x dag,FALSE,Mettre à jour tous les x jours,FALSE,Update every x days,FALSE,Update every x days,FALSE
